reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_info,kino_map,video_id
19,2014-11-03,Filmladen,24,42,filmladen-kassel,Goethestrasse 31,34119,Kassel,9.470841,51.31415,0561 707 640,http://www.filmladen.de,"The movie store. And my host: Hector Gutierrez on the social consequences of digitization.","https://www.google.com/maps/place/Filmladen+Kassel+e.+V/@51.31415,9.4708413,17z/data=!3m1!4b1!4m5!3m4!1s0x47bb3f4390499f0f:0x7f56c4011fd3ee64!8m2!3d51.31415!4d9.47303?hl=en-GB",235916968
20,2014-11-04,Trauma im G-Werk,78,51,trauma-marburg,Afföllerwiesen 3A,35039,Marburg,8.767768,50.820565,06421 889772,http://www.cafetrauma.de/,"Basic democracy in the collective. And ponies in trauma.","https://www.google.com/maps/place/Trauma+im+G-Werk+e.V./@50.8205647,8.7677679,17z/data=!3m1!4b1!4m5!3m4!1s0x47bc629ac1a29f49:0xa612dc33c1477569!8m2!3d50.8205647!4d8.7699566?hl=en-GB",232248557
21,2014-11-05,Mal Sehn’ Kino,64,20,mal-sehn-frankfurt,"Adlerflychtstr. 6, Hinterhaus",60318,Frankfurt,8.683396,50.123887,069 5970845,http://www.malsehnkino.de,"One of the most beautiful cinema pubs in Germany - Mal Seh' n.","https://www.google.com/maps/place/Mal+Seh'n+cinema+e.V./@50.1238865,8.6833959,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd0eb9d2642fd9:0x926f22821948bfee!8m2!3d50.1238865!4d8.6855846?hl=en-GB",236205029
22,2014-11-07,Kommunales Kino,51,21,kommunales-kino-freiburg,Urachstraße 40,79102,Freiburg im Breisgau,7.851352,47.984806,0761 4598000,https://www.koki-freiburg.de/,"A local cinema with a long tradition and a varied programme","https://www.google.com/maps/place/Kommunales+Kino/@47.9848058,7.8513516,17z/data=!3m1!4b1!4m5!3m4!1s0x47911ca4b4af9c93:0x16bc92c92ca376dd!8m2!3d47.9848058!4d7.8535403?hl=en-GB",232244969
23,2014-11-08,Arsenal,2,80,arsenal-tuebingen,Hintere Grabenstraße 20,72070,Tübingen,9.051739,48.522875,07071 999 75 31,http://www.arsenalkinos.de,"One to nothing for Wenders...","https://www.google.com/maps/place/Arsenal+Kinobetriebe/@48.5228754,9.0517392,17z/data=!3m1!4b1!4m5!3m4!1s0x4799fad4c7353a7f:0x61c5cef62611dadf!8m2!3d48.5228754!4d9.0539279?hl=en-GB",236205616
24,2014-11-09,Delphin Palast,15,85,delphin-palast-wolfsburg,Porschestraße 39,38440,Wolfsburg,10.786273,52.423217,05361 3070507,http://www.delphin-kino.de,"A palace from the' 50s. With Ralf Christians.","https://www.google.com/maps/place/Delphin-Palast/@52.423217,10.7862733,17z/data=!3m1!4b1!4m5!3m4!1s0x47af924b3db83919:0xaf364c7e0893bd9!8m2!3d52.423217!4d10.788462?hl=en-GB",238182848
25,2014-11-10,Universum,80,12,universum-braunschweig,Neue Straße 8,38100,Braunschweig,10.518341,52.26422,0531 7022 15 50,http://www.universum-filmtheater.de/das-aktuelle-programm-vom-2109-27092017/,"In the universe and visiting filmmaker colleague Stefan Möckel","https://www.google.de/maps/place/Universum+Filmtheater/@52.26422,10.5183414,17z/data=!3m1!4b1!4m5!3m4!1s0x47aff6771387f0f1:0xdc3b8fd7a5cc1059!8m2!3d52.26422!4d10.52053",232456432
26,2014-11-11,Kino in der Lagerhalle,45,67,kino-in-der-lagerhalle-osnabrueck,Rolandsmauer 26,49074,Osnabrück,8.03725,52.276139,0541 338740,http://www.lagerhalle-osnabrueck.de/cms/,"The charm of the old tickets. With Reinhard Westendorf","https://www.google.com/maps/place/Lagerhalle+e.V./@52.2761386,8.0372496,17z/data=!3m1!4b1!4m5!3m4!1s0x47b9e594ce491f45:0x6344b4a46e4038f7!8m2!3d52.2761386!4d8.0394383?hl=en-GB",235987441
27,2014-11-13,City 46,14,13,city-46-bremen,Birkenstraße 1,28195,Bremen,8.807791,53.080272,0421 95799290,http://www.city46.de/willkommen.html,"Tilda Swinton in the morning skirt and other celebrities. With Alfred Tews and Lilian Rothaus.","https://www.google.de/maps/place/City+46+municipal+cinema+Bremen+e.V./@53.0802722,8.8077909,17z/data=!3m1!4b1!4m5!3m4!1s0x47b1284fd770dc47:0x8f02c0996a09975e!8m2!3d53.0802722!4d8.8099796",232485928
28,2014-11-16,Abaton,0,23,abaton-hamburg,Allendeplatz 3,20146,Hamburg,9.979695,53.567606,04041 320320,http://www.abaton.de,"The eternal light in the temple and the blessings of digitization. Tilmann Haffke.","https://www.google.com/maps/place/Abaton+Kino/@53.5676058,9.9796952,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f3982daab01:0x9210c505a9b0e5e7!8m2!3d53.5676058!4d9.9818839?hl=en-GB",235961496
29,2014-11-17,Kino im Künstlerhaus,40,31,kino-im-kuenstlerhaus-hannover,Sophienstr. 2,30159,Hannover,9.740963,52.372861,0511 168 45522,http://www.presse-hannover.de/koki/koki2008/,"A chandelier in front of the cinema in the Künstlerhaus. Ralf Knobloch on the cinema landscape in Hanover.","https://www.google.com/maps/place/Kino+im+K%C3%BCnstlerhaus/@52.3728607,9.7409629,17z/data=!3m1!4b1!4m5!3m4!1s0x47b074b3d7c1447f:0x44d58e8e87c6e5c3!8m2!3d52.3728607!4d9.7431516?hl=en-GB",236204041
30,2014-11-21,Eiszeit,16,6,eiszeit-berlin,Zeughofstraße 20,10997,Berlin,13.430971,52.500263,030 6116016,http://eiszeit.berlin/en/programmtickets,"A former collective cinema in the backyard.","https://www.google.de/maps/place/EISZEIT-Kino/@52.500263,13.4309713,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84e4b97006517:0xcc692ea774c204cb!8m2!3d52.500263!4d13.43316",232513068
31,2014-11-22,Bundesplatz-Kino,8,5,bundesplatz-kino-berlin,Bundesplatz 14,10715,Berlin,13.329375,52.478895,030 85406085,http://www.bundesplatz-kino.de/,"Martin Erlenmaier and his company have made their dream come true. A communicative cinema.","https://www.google.de/maps/place/Bundesplatz+Kino+Berlin/@52.4788951,13.3293754,15z/data=!4m2!3m1!1s0x0:0x936d1d4750182a38?sa=X&ved=0ahUKEwj5wa3agcHWAhXDvRQKHQ9XAzYQ_BIIlwEwCg",232514721
32,2014-11-23,Kino,34,53,kino-meldorf-meldorf,Süderstraße 14,25704,Meldorf,9.068945,54.088688,04832 4343,http://kino-meldorf.de/kino/home/city279,"Cinema of consumption and the transformations of digitization. Bertram Herwig.","https://www.google.com/maps/place/Kino+Deutsches+Haus/@54.088688,9.0689451,17z/data=!3m1!4b1!4m5!3m4!1s0x47b3f34a6e4ad8b9:0xc89147c0c6a4c263!8m2!3d54.088688!4d9.0711339?hl=en-GB",238363412
33,2014-11-23,Interview with Gerd Roscher,29,65,gespraech-roscher-odderade,NA,NA,Odderade,9.2102633,54.141505,NA,http://www.gerdroscher.net/,"The filmmaker and film professor Gerd Roscher talks about different strategies of film distribution.",NA,238752041
34,2014-11-23,Interview with Johannes Kirschbaum,30,60,gespraech-kirschbaum-nordhastedt,NA,NA,Nordhastedt,9.1909481,54.1717401,NA,NA,"Johannes Kirschbaum about his time as a silent film pianist. He plays Chopin and music to 66KINOS.",NA,238750940
35,2014-11-23,Interview with Lars Henrik Gass,31,62,gespraech-gass-oberhausen,NA,NA,Oberhausen,6.856046,51.475,NA,https://de.wikipedia.org/wiki/Lars_Henrik_Gass,"The first cultural technique produced by capitalism - and also abolished by it - was the first one. Lars Henrik Gass, director of the Oberhausen Short Film Festival, on the regulated museumisation of cinema.",NA,238742452
36,2014-11-25,Pro-Winzkino,68,77,pro-winzkino-simmern,Marktstraße 39,55469,Simmern,7.521111,49.98448,06761 7748,http://www.pro-winzkino.de/static/structure/index.php,"An association in the province manages to strike a balance between mainstream and art house cinema.","https://www.google.com/maps/place/Pro-Winzkino/@49.98448,7.5211113,17z/data=!3m1!4b1!4m5!3m4!1s0x47be0e53b88aecdb:0x9eea7f889249e2e5!8m2!3d49.98448!4d7.5233?hl=en-GB",169223151
37,2014-11-27,Kino im Schafstall,41,75,schafstall-schwaebisch-hall,Im Lindach 9,74523,Schwäbisch-Hall,9.733766,49.108805,0791 71937,http://www.kinoimschafstall.de,"The members of the association, which runs the cinema in the sheep pen, are concerned about cinema as a place of exchange in transition.","https://www.google.com/maps/place/Cinema+in+the+sheepfold/@49.1088045,9.733766,17z/data=!3m1!4b1!4m5!3m4!1s0x47985072da38f087:0xf64b7cb93ac05f83!8m2!3d49.1088045!4d9.7359548?hl=en-GB",235985392
38,2014-11-28,Filmklappe,23,79,filmklappe-speyer,Kleine Greifengasse 9,67346,Speyer,8.438672,49.316463,06232 73839,http://www.filmklappe-speyer.de/,"About the operator association and about problems with the next generation. ","https://www.google.com/maps/place/Verein+Alter+Stadtsaal+e.V./@49.316463,8.438672,17z/data=!4m5!3m4!1s0x0:0xec25b6ac64e7784e!8m2!3d49.3164631!4d8.4386718?hl=en-GB",232311680
39,2014-11-30,Weitwinkel Kommunales Kino,82,78,weitwinkel-singen,Mühlenstraße 13,78224,Singen,8.829511,47.761457,07731 67578,http://www.diegems.de/kino.html,"A cinema without roof and with a hopeful view.","https://www.google.de/maps/place/GEMS+Kulturzentrum/@47.761457,8.8295108,17z/data=!3m1!4b1!4m5!3m4!1s0x479a7d153f93395d:0xb9dc40d3b3efd311!8m2!3d47.761457!4d8.8316995",232337843
40,2014-11-30,Kulturzentrum Linse,55,82,kulturzentrum-linse-weingarten,Lieb­frau­en­str. 58,88250,Weingarten,9.634891,47.80447,0751 51199,http://www.kulturzentrum-linse.de/kino-programm-tickets/,"Closed-hearted spectators and an exciting vita.","https://www.google.com/maps/place/Kulturzentrum+Linse+e.V./@47.80447,9.6348913,17z/data=!3m1!4b1!4m5!3m4!1s0x479bafa4d4fcb239:0x39aff4d92deeed68!8m2!3d47.80447!4d9.63708?hl=en-GB",238072748
41,2014-12-01,Kino Utopia,47,81,utopia-wasserburg,Herrengasse 5-7,83512,Wasserburg a. Inn,12.229621,48.061226,08071 62 06,http://www.kino-utopia.de,"Open Air and Under the Bridge","https://www.google.com/maps/place/Kino+Utopia/@48.0612255,12.2296205,17z/data=!3m1!4b1!4m5!3m4!1s0x477607f353374d6b:0xb5ad28b6467a9582!8m2!3d48.0612255!4d12.2318092?hl=en-GB",232336986
42,2014-12-02,Lichtspiel,61,4,lichtspiel-bamberg,Untere Königstr. 34,96052,Bamberg,10.887851,49.897959,0951 26785,http://www.lichtspielkino.de/,"Tango in the cinema bar and other developments","https://www.google.de/maps/place/Lichtspiel,+Kino+%26+Caf%C3%A9/@49.8979585,10.8878508,17z/data=!3m1!4b1!4m5!3m4!1s0x47a22314ad894255:0xc714fdae903dec24!8m2!3d49.8979585!4d10.8900395",232335733
43,2014-12-03,Central-Kino,10,36,central-kino-hof,Altstadt 8,95028,Hof,11.913419,50.318356,09281 142488,http://www.kino-hof.de/,"From the constraints of economic efficiency and what changes - and not.","https://www.google.de/maps/place/Central-Kino+Hof/@50.3183557,11.9134192,17z/data=!3m1!4b1!4m5!3m4!1s0x47a117551fbb3af1:0x7d7d1fdd6e464dda!8m2!3d50.3183557!4d11.9156079",232468011
44,2014-12-04,Cineding,11,47,cineding-leipzig,Karl-Heine-Str. 83,4229,Leipzig,12.330107,51.330802,034123 959 474,http://www.cineding-leipzig.de,"A portrait without sound. With Nora Freytag in the Cineding. And a car chase at my friend Dino Weisz's.","https://www.google.com/maps/place/Cineding+Leipzig/@51.3308019,12.3301068,17z/data=!3m1!4b1!4m5!3m4!1s0x47a6f7a04b9bedcd:0xa08679272e6d2910!8m2!3d51.3308019!4d12.3322955?hl=en-GB",236207883
45,2014-12-06,Kino 51 Stufen,35,19,kino-51-stufen-flensburg,Friedrich-Ebert-Str. 7,24937,Flensburg,9.436219,54.780918,0461 31802 184,http://www.51stufen.de,"Levels count in Flensburg","https://www.google.com/maps/place/Cinema+51+stages/@54.7809184,9.4362191,17z/data=!3m1!4b1!4m5!3m4!1s0x47b34299d0a84e51:0x79c5e14d6d031e08!8m2!3d54.7809184!4d9.4384078?hl=en-GB",237068308
46,2014-12-08,Apollo,1,0,apollo-aachen,Pontstraße 141-149,52062,Aachen,6.078979,50.78067,0241 9008484,http://www.apollo-aachen.de/,"An original way of cross-financing: Cinema parties","https://www.google.de/maps/place/Apollo+Kino+%26+Bar/@50.7806704,6.078979,15z/data=!4m2!3m1!1s0x0:0x9328c9881217c03c?sa=X&ved=0ahUKEwifxuKrlbfWAhUBQBQKHXMrBm8Q_BIIxQEwDw",232468873
47,2014-12-09,Kommunales Kino,52,48,kommunales-kino-leverkusen,Am Büchelter Hof 9,51373,Leverkusen,6.987261,51.035097,0214 406 4184,https://http://kommunales-kino-leverkusen.de,"Cinema as an education. Ute Mader and the cinema in the Leverkusen adult education centre","https://www.google.de/maps/place/Kommunales+Kino+im+Forum/@51.0350967,6.9872607,17z/data=!4m8!1m2!2m1!1skommunales+kino+in+der+vhs+leverkusen!3m4!1s0x47bf2e94940a33df:0x51efb05064b9457f!8m2!3d51.0350254!4d6.9898498",232458754
48,2014-12-10,Kino im BÜZ,39,54,kino-im-buez-minden,Seidenbeutel 1 ,32423,Minden,8.918301,52.291124,0571 23939 ,http://www.buezminden.de/,"Cinema in the community centre. The link between defensive and offensive - soccer fan Peter Ludwig. ","https://www.google.com/maps/place/Kulturzentrum+B%C3%9CZ/@52.291124,8.9183013,17z/data=!3m1!4b1!4m5!3m4!1s0x47ba76a7d8b63b05:0xea4862d8e5aafcc0!8m2!3d52.291124!4d8.92049?hl=en-GB",237067710
49,2014-12-13,Metropolis,66,29,metropolis-hamburg,Kleine Theaterstraße 10,20354,Hamburg,9.986288,53.556337,040 342353,http://www.metropoliskino.de/,"A director of a cinema who used to be sick in the cinema. And the key experience of a projectionist. In the Metropolis in Hamburg, with Susanne Kaschdailis and Martin Aust.","https://www.google.com/maps/place/Metropolis/@53.5563367,9.9862883,17z/data=!3m1!4b1!4m5!3m4!1s0x4163a34b390bedab:0xb4a6f8501dcd1963!8m2!3d53.5563367!4d9.988477?hl=en-GB",212889481
50,2014-12-14,Lichtblick,59,66,lichtblick-oldenburg,Schuhstraße 97,23758,Oldenburg i. Holst.,10.879139,54.287027,04361 5077 48,http://www.lichtblick-filmtheater.de,"A cinema with an inclusive approach. Lothar Irrgang on employment trends in the cinema industry.","https://www.google.com/maps/place/Kino+Lichtblick+Filmtheater/@54.2870274,10.8791394,17z/data=!4m13!1m7!3m6!1s0x47b27e25b7d53d6b:0x8e892aa05541f2ed!2sSchuhstra%C3%9Fe+97,+23758+Oldenburg+in+Holstein,+Germany!3b1!8m2!3d54.2870274!4d10.8813281!3m4!1s0x0:0x5afb625f46746a3!8m2!3d54.2873665!4d10.8811748?hl=en-GB",237075024
51,2014-12-16,Kino in der Pumpe,46,43,kino-in-der-pumpe-kiel,Haßstr. 22,24103,Kiel,10.135879,54.324577,0431 2007650,http://www.diepumpe.de/veranstaltungen/kategorie/kino/,"War between two regulars for the same seat. In the pump in Kiel.","https://www.google.com/maps/place/Ha%C3%9Fstra%C3%9Fe+22,+24103+Kiel,+Germany/@54.3245773,10.135879,17z/data=!3m1!4b1!4m5!3m4!1s0x47b2565d142b2eff:0x72e97ff989a28fc9!8m2!3d54.3245773!4d10.1380677?hl=en-GB",237073549
52,2014-12-20,Hochseekino,27,34,hochseekino-helgoland,Nordseehalle,27498,Helgoland,7.885023,54.185197,04725 811050,http://hochseekino.de/kino/home/city220,"A highlight of my tour: Helgoland. Sherry in the cinema with Michael Becker and in a storm with the artist Angela Anzi.","https://www.google.com/maps/place/Nordseehalle+Helgoland/@54.1851968,7.8850226,17z/data=!3m1!4b1!4m5!3m4!1s0x47b5b5fa92f0d287:0x4ff8485923251d0e!8m2!3d54.1851968!4d7.8872113?hl=en-GB",237271757
53,2015-01-01,Koki,48,49,koki-luebeck,Mengstr. 35,23552,Lübeck,10.678862,53.868673,04511 221287,http://www.kinokoki.de,"Who's Louise Michel?","https://www.google.com/maps/place/Kommunales+Kino+L%C3%BCbeck/@53.868673,10.6788623,17z/data=!3m1!4b1!4m5!3m4!1s0x47b2095650cacdd9:0x531089ff86a1a117!8m2!3d53.868673!4d10.681051?hl=en-GB",237293059
54,2015-01-17,Olympiakino,67,35,olympiakino-hirschberg-leutershausen,Hölderlinstraße 2,69493,Hirschberg-Leutershausen,8.658778,49.499443,06201 5091 95,http://www.olympia-leutershausen.de,"An association-operated cinema with a high level of popularity. And problems of digitalization: the consequences of a hacker attack","https://www.google.com/maps/place/Olympia+Kino/@49.4994431,8.6587782,17z/data=!3m1!4b1!4m5!3m4!1s0x4797c4f2a3df4eef:0x7d6327a458f72a20!8m2!3d49.4994431!4d8.6609669?hl=en-GB",237282874
55,2015-01-18,Karlstorkino,32,33,karlstorkino-heidelberg,Am Karlstor 1,69117,Heidelberg,8.717068,49.414804,06221 978920,http://www.karlstorkino.de,"Cinema and active media relations. The teaching of education through film. ""The cinema is my living room""","https://www.google.com/maps/place/Karlstorkino+-+Media+Forum+Heidelberg+e.V./@49.4148042,8.717068,17z/data=!3m1!4b1!4m5!3m4!1s0x4797c1a63bc7b45f:0x70c49e810c358f6b!8m2!3d49.4148042!4d8.7192567?hl=en-GB",237282423
56,2015-01-21,sweetSixteen,75,15,sweetsixteen-dortmund,Immermannstraße 29,44147,Dortmund,7.450668,51.533209,0231 9106623,http://sweetsixteen-kino.de/,"From the new exploitation of old educational films. FWU evenings and Henry, the cinema doggy. ","https://www.google.de/maps/place/sweetSixteen/@51.533209,7.4506683,17z/data=!3m1!4b1!4m5!3m4!1s0x47b91a1dc5920acf:0xfee304227cae4615!8m2!3d51.533209!4d7.452857",232455049
57,2015-01-22,Kino im Walzenlager,43,63,kino-im-walzenlager-oberhausen,Hansatraße 20,46049,Oberhausen,6.845126,51.475229,020885 97 877,http://www.walzenlagerkino-ob.de,"About a dream job and first cinema experiences. Ice confectionery battle included","https://www.google.com/maps/place/Zentrum+Altenberg/@51.475229,6.8451263,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8c024f949d6cb:0xa57a732012ae64d1!8m2!3d51.475229!4d6.847315?hl=en-GB",237283472
